,age,job,marital
146,42,blue-collar,married
147,35,admin.,single
148,40,admin.,married
149,51,blue-collar,married
150,60,blue-collar,married
151,56,entrepreneur,married
152,39,services,divorced
153,56,entrepreneur,married
154,40,blue-collar,married
155,36,blue-collar,married
156,51,blue-collar,married
157,51,blue-collar,married
158,43,technician,single
159,59,services,married
160,24,management,single
161,37,blue-collar,single
162,40,blue-collar,married
163,42,blue-collar,married
164,39,services,divorced
165,37,entrepreneur,married
166,38,services,married
167,56,admin.,divorced
168,40,blue-collar,married
169,54,management,divorced
170,43,blue-collar,married
171,36,services,married
172,45,technician,married
173,42,admin.,single
174,43,services,married
175,46,management,married
176,44,services,married
177,51,admin.,single
178,28,services,married
179,37,blue-collar,married
180,34,technician,married
181,46,blue-collar,married
182,42,blue-collar,married
183,36,admin.,married
184,54,blue-collar,married
185,57,management,married
186,51,technician,married
187,54,retired,married
188,49,blue-collar,married
189,34,admin.,married
190,41,technician,married
191,38,blue-collar,single
192,45,management,divorced
193,42,technician,married
194,34,blue-collar,single
195,48,blue-collar,married
196,37,admin.,married
197,34,blue-collar,single
198,40,admin.,married
199,43,blue-collar,married
200,33,services,married
201,32,services,single
202,39,blue-collar,married
203,43,admin.,married
204,44,blue-collar,married
205,35,student,single
206,35,student,single
207,35,unemployed,married
208,36,services,single
209,35,student,single
210,36,student,single
211,55,housemaid,divorced
212,59,admin.,married
213,57,retired,married
214,39,blue-collar,married
215,39,housemaid,married
216,30,blue-collar,single
217,30,blue-collar,single
218,50,housemaid,married
219,40,services,married
220,35,admin.,married
221,43,technician,married
222,36,services,single
223,46,technician,married
224,40,technician,married
225,58,retired,married
226,42,technician,married
227,35,admin.,single
228,43,retired,married
229,45,blue-collar,married
230,39,admin.,married
231,50,services,divorced
232,32,management,divorced
233,39,admin.,married
234,52,self-employed,married
235,44,admin.,married
236,56,blue-collar,married
237,48,admin.,married
238,33,services,married
239,43,management,married
240,57,retired,married
241,36,technician,single
242,34,management,married
243,34,services,single
244,30,technician,married
245,33,services,divorced
246,32,technician,single
247,36,technician,single
248,36,blue-collar,single
249,33,services,single
250,40,technician,divorced
251,41,blue-collar,married
252,51,services,married
253,36,technician,married
254,28,services,married
255,53,services,married
256,58,blue-collar,married
257,45,management,married
258,43,technician,married
259,33,admin.,married
260,33,admin.,married
261,27,blue-collar,single
262,42,technician,married
263,43,admin.,divorced
264,42,admin.,married
265,27,blue-collar,single
266,34,self-employed,single
267,31,student,single
268,54,management,divorced
269,40,self-employed,married
270,52,unemployed,married
271,47,management,divorced
272,49,housemaid,married
273,32,admin.,single
274,49,housemaid,single
275,50,blue-collar,married
276,34,services,married
277,55,blue-collar,married
278,47,technician,single
279,51,retired,married
280,47,blue-collar,married
281,56,technician,married
282,53,admin.,married
283,36,blue-collar,married
284,42,blue-collar,divorced
285,44,blue-collar,divorced
286,39,housemaid,married
287,37,admin.,single
288,60,blue-collar,married
289,36,services,married
290,42,management,divorced
291,31,admin.,married
292,53,technician,divorced
293,45,blue-collar,married
294,37,technician,single
295,47,self-employed,married
296,49,blue-collar,divorced
297,36,admin.,married
298,35,services,divorced
299,38,unknown,married
300,38,services,single
301,50,blue-collar,divorced
302,59,retired,married
303,43,unknown,married
304,42,admin.,married
305,40,admin.,married
306,46,blue-collar,married
307,57,housemaid,divorced
308,42,admin.,married
309,41,blue-collar,married
310,54,management,divorced
311,27,admin.,single
312,36,admin.,married
313,58,blue-collar,married
314,40,management,married
315,34,admin.,single
316,33,admin.,divorced
317,56,retired,married
318,42,blue-collar,married
319,43,services,married
320,54,management,single
321,53,admin.,single
322,42,technician,single
323,40,services,married
324,54,technician,married
325,40,housemaid,single
326,26,admin.,single
327,33,admin.,married
328,35,blue-collar,married
329,36,admin.,married
330,29,services,single
331,36,blue-collar,married
332,35,management,married
333,50,self-employed,single
334,46,services,married
335,49,entrepreneur,married
336,42,technician,single
337,36,blue-collar,single
338,55,blue-collar,married
339,41,management,married
340,57,management,married
341,32,services,single
342,49,admin.,married
343,57,unknown,married
344,58,blue-collar,divorced
345,52,technician,married
346,50,services,divorced
347,41,blue-collar,single
348,33,entrepreneur,married
349,57,blue-collar,married
350,48,blue-collar,married
351,55,technician,married
352,38,management,married
353,38,services,married
354,53,admin.,married
355,43,unemployed,single
356,36,blue-collar,single
357,32,blue-collar,married
358,33,services,married
359,58,entrepreneur,married
360,40,unemployed,divorced
361,57,management,married
362,45,technician,married
363,42,blue-collar,married
364,46,admin.,married
365,36,technician,married
366,41,self-employed,married
367,57,admin.,divorced
368,49,blue-collar,married
369,56,management,divorced
370,37,blue-collar,married
371,37,blue-collar,married
372,46,admin.,single
373,22,blue-collar,single
374,43,services,married
375,49,blue-collar,married
376,41,technician,married
377,38,admin.,single
378,33,admin.,married
379,49,admin.,married
380,30,blue-collar,single
381,33,admin.,married
382,34,management,single
383,30,student,single
384,59,management,married
385,59,management,married
386,41,self-employed,married
387,48,housemaid,married
388,28,unknown,single
389,44,services,married
390,59,retired,unknown
391,50,management,married
392,35,admin.,married
393,42,admin.,married
394,45,admin.,married
395,36,technician,married
396,56,services,married
397,29,blue-collar,divorced
398,41,self-employed,married
399,42,blue-collar,married
400,52,services,single
401,48,services,married
402,31,blue-collar,married
403,43,unemployed,married
404,36,blue-collar,married
405,42,entrepreneur,married
406,52,services,divorced
407,39,admin.,married
408,36,services,married
409,42,blue-collar,married
410,41,admin.,married
411,55,technician,married
412,30,blue-collar,married
413,57,retired,unknown
414,45,entrepreneur,married
415,51,blue-collar,married
416,39,self-employed,single
417,47,admin.,married
418,27,services,married
419,34,technician,single
420,57,blue-collar,married
421,43,entrepreneur,married
422,49,blue-collar,married
423,39,management,married
424,38,blue-collar,married
425,49,blue-collar,married
426,58,management,married
427,43,technician,married
428,50,unknown,married
429,31,services,married
430,43,self-employed,divorced
431,43,self-employed,married
432,30,self-employed,single
433,27,services,single
434,51,services,married
435,37,technician,married
436,46,housemaid,married
437,35,blue-collar,married
438,47,admin.,divorced
439,46,management,married
440,40,technician,married
441,26,housemaid,married
442,32,blue-collar,divorced
443,45,management,married
444,34,admin.,married
445,47,blue-collar,married
446,42,technician,married
447,57,technician,married
448,57,technician,married
449,38,blue-collar,married
450,57,technician,married
451,28,student,single
452,60,management,married
453,48,admin.,married
454,47,technician,married
455,40,admin.,married
456,51,management,married
457,48,unemployed,single
458,54,housemaid,married
459,40,blue-collar,married
460,44,admin.,single
461,42,technician,divorced
462,52,self-employed,married
463,31,blue-collar,single
464,32,services,married
465,44,admin.,married
466,39,management,married
467,57,management,married
468,52,admin.,married
469,42,management,married
470,42,technician,single
471,43,management,married
472,31,admin.,divorced
473,29,admin.,married
474,57,blue-collar,divorced
475,44,blue-collar,married
476,59,unknown,married
477,39,blue-collar,married
478,57,retired,married
479,41,management,married
480,37,technician,single
481,38,services,married
482,42,retired,married
483,49,unknown,married
484,54,management,married
485,36,admin.,married
486,32,admin.,single
487,35,technician,married
488,45,housemaid,married
489,56,technician,married
490,34,technician,married
491,41,unemployed,married
492,41,services,married
493,36,blue-collar,married
494,32,admin.,single
495,31,services,married
496,38,technician,married
497,35,admin.,divorced
498,53,admin.,married
499,51,admin.,married
500,56,entrepreneur,married
501,33,admin.,married
502,33,admin.,married
503,51,services,divorced
504,39,services,married
505,45,entrepreneur,married
506,40,technician,single
507,60,unknown,single
508,33,technician,married
509,47,blue-collar,married
510,48,blue-collar,married
511,43,entrepreneur,married
512,37,management,married
513,50,services,married
514,59,entrepreneur,married
515,32,technician,married
516,42,housemaid,single
517,52,blue-collar,married
518,42,blue-collar,married
519,42,admin.,married
520,40,management,married
521,38,blue-collar,married
522,39,blue-collar,married
523,39,blue-collar,married
524,38,admin.,married
525,47,admin.,single
526,30,services,single
527,38,admin.,divorced
528,39,technician,divorced
529,44,admin.,married
530,36,admin.,married
531,41,services,married
532,41,blue-collar,married
533,35,blue-collar,married
534,41,technician,married
535,36,services,married
536,35,admin.,single
537,33,blue-collar,single
538,38,admin.,single
539,33,self-employed,married
540,55,self-employed,married
541,36,blue-collar,single
542,57,technician,married
543,32,entrepreneur,single
544,30,self-employed,single
545,43,admin.,married
546,46,admin.,married
547,35,admin.,divorced
548,34,admin.,single
549,50,blue-collar,married
550,39,admin.,single
551,39,blue-collar,married
552,42,entrepreneur,married
553,57,retired,married
554,45,blue-collar,married
555,40,technician,married
556,42,blue-collar,married
557,40,technician,married
558,38,blue-collar,single
559,39,blue-collar,married
560,41,blue-collar,married
561,39,blue-collar,married
562,41,blue-collar,married
563,45,admin.,married
564,35,admin.,divorced
565,35,admin.,married
566,49,blue-collar,married
567,36,technician,married
568,23,admin.,single
569,43,unemployed,married
570,49,entrepreneur,married
571,36,technician,married
572,51,blue-collar,married
573,56,retired,married
574,45,housemaid,married
575,42,admin.,married
576,41,admin.,divorced
577,32,services,married
578,46,management,married
579,37,blue-collar,married
580,53,management,married
581,30,blue-collar,married
582,45,unknown,married
583,24,technician,single
584,45,unknown,married
585,34,admin.,single
586,41,management,married
587,59,blue-collar,married
588,45,blue-collar,married
589,54,blue-collar,married
590,32,technician,married
591,33,technician,married
592,32,admin.,married
593,34,services,single
594,46,management,married
595,57,technician,married
596,42,technician,married
597,48,admin.,married
598,58,admin.,divorced
599,34,services,married
600,32,admin.,single
601,48,blue-collar,married
602,47,blue-collar,married
603,31,services,married
604,32,admin.,single
605,32,admin.,single
606,36,services,married
607,53,blue-collar,married
608,37,blue-collar,married
609,50,services,married
610,46,blue-collar,married
611,41,admin.,married
612,43,blue-collar,single
613,51,management,married
614,38,admin.,married
615,41,technician,married
616,39,services,married
617,52,blue-collar,married
618,37,technician,married
619,41,admin.,married
620,46,admin.,divorced
621,47,technician,married
622,35,technician,married
623,38,services,married
624,30,blue-collar,single
625,46,blue-collar,married
626,30,technician,married
627,35,services,single
628,58,admin.,married
629,40,technician,married
630,34,technician,married
631,30,admin.,single
632,38,services,married
633,55,management,single
634,55,management,married
635,45,technician,single
636,36,admin.,married
637,32,admin.,single
638,35,technician,married
639,55,management,divorced
640,49,housemaid,married
641,29,admin.,married
642,34,blue-collar,married
643,54,retired,married
644,36,technician,single
645,30,management,single
646,33,housemaid,divorced
647,37,blue-collar,married
648,36,technician,married
649,33,blue-collar,married
650,32,housemaid,married
651,32,housemaid,married
652,50,blue-collar,married
653,39,blue-collar,married
654,51,blue-collar,divorced
655,33,services,married
656,33,services,married
657,56,management,married
658,39,management,divorced
659,33,self-employed,single
660,59,retired,divorced
661,42,admin.,single
662,43,services,married
663,35,admin.,married
664,46,blue-collar,married
665,27,technician,married
666,47,admin.,divorced
667,31,admin.,single
668,32,blue-collar,married
669,54,admin.,married
670,56,management,married
671,48,services,single
672,44,admin.,married
673,46,admin.,married
674,45,services,married
675,43,admin.,married
676,40,admin.,single
677,56,management,married
678,47,entrepreneur,married
679,39,management,divorced
680,48,technician,married
681,45,housemaid,married
682,36,self-employed,married
683,49,management,married
684,46,services,married
685,38,blue-collar,married
686,50,housemaid,married
687,27,admin.,single
688,40,technician,married
689,46,management,married
690,40,admin.,divorced
691,33,management,single
692,54,retired,married
693,52,blue-collar,married
694,53,admin.,married
695,49,services,married
696,42,blue-collar,married
697,49,housemaid,married
698,40,entrepreneur,married
699,59,admin.,married
700,51,self-employed,married
701,57,housemaid,married
702,38,self-employed,divorced
703,52,self-employed,married
704,26,unemployed,single
705,35,admin.,married
706,51,admin.,married
707,43,blue-collar,married
708,42,admin.,married
709,60,retired,divorced
710,36,blue-collar,married
711,57,management,married
712,35,student,single
713,30,admin.,married
714,43,services,married
715,40,technician,married
716,45,technician,married
717,56,retired,married
718,46,services,married
719,41,blue-collar,married
720,42,admin.,married
721,56,blue-collar,married
722,43,entrepreneur,married
723,34,blue-collar,married
724,38,services,married
725,40,technician,married
726,38,admin.,married
727,48,entrepreneur,married
728,27,blue-collar,married
729,24,technician,single
730,47,admin.,single
731,48,blue-collar,married
732,31,admin.,single
733,39,self-employed,single
734,41,technician,single
735,49,blue-collar,married
736,56,retired,married
737,49,admin.,married
738,47,unemployed,divorced
739,44,blue-collar,married
740,48,admin.,divorced
741,55,housemaid,married
742,59,management,married
743,44,technician,single
744,46,blue-collar,married
745,39,blue-collar,divorced
746,38,unemployed,married
747,36,services,married
748,29,admin.,single
749,31,technician,single
750,30,services,divorced
751,36,blue-collar,married
752,60,blue-collar,married
753,36,admin.,married
754,32,services,married
755,39,blue-collar,married
756,30,services,married
757,39,blue-collar,married
758,37,blue-collar,married
759,39,blue-collar,married
760,46,blue-collar,married
761,43,unemployed,married
762,37,services,married
763,30,technician,married
764,38,technician,married
765,31,technician,married
766,44,admin.,married
767,44,self-employed,married
768,38,technician,married
769,30,student,single
770,37,blue-collar,married
771,54,housemaid,divorced
772,41,management,married
773,43,technician,married
774,38,housemaid,married
775,41,blue-collar,married
776,38,blue-collar,single
777,33,blue-collar,married
778,32,admin.,married
779,30,services,married
780,43,technician,married
781,30,services,married
782,36,technician,divorced
783,38,blue-collar,married
784,35,blue-collar,single
785,50,self-employed,married
786,38,blue-collar,married
787,58,admin.,married
788,50,technician,married
789,33,blue-collar,single
790,33,blue-collar,single
791,44,management,single
792,31,management,married
793,40,entrepreneur,married
794,28,unknown,single
795,36,services,single
796,44,blue-collar,single
797,38,blue-collar,divorced
798,33,blue-collar,married
799,39,blue-collar,divorced
800,47,blue-collar,single
801,47,services,divorced
802,35,entrepreneur,single
803,42,admin.,divorced
804,36,admin.,married
805,35,technician,married
806,36,services,single
807,56,entrepreneur,married
808,26,admin.,single
809,31,admin.,single
810,57,self-employed,single
811,39,services,married
812,43,blue-collar,married
813,50,admin.,married
814,52,blue-collar,single
815,39,blue-collar,divorced
816,44,technician,single
817,36,housemaid,married
818,54,management,married
819,27,admin.,single
820,31,admin.,single
821,31,admin.,married
822,28,blue-collar,married
823,31,management,single
824,30,management,divorced
825,52,technician,married
826,37,technician,divorced
827,30,services,married
828,45,blue-collar,married
829,54,technician,married
830,49,entrepreneur,married
831,44,admin.,married
832,28,student,single
833,53,technician,married
834,45,blue-collar,married
835,45,blue-collar,married
836,51,admin.,married
837,41,blue-collar,married
838,43,technician,married
839,31,admin.,single
840,39,admin.,single
841,38,technician,married
842,50,entrepreneur,married
843,53,admin.,single
844,44,admin.,divorced
845,53,blue-collar,married
846,24,services,single
847,34,admin.,single
848,40,technician,married
849,57,management,divorced
850,43,blue-collar,married
851,31,blue-collar,married
852,31,services,married
853,31,blue-collar,married
854,45,housemaid,married
855,38,admin.,married
856,41,entrepreneur,married
857,47,blue-collar,married
858,42,blue-collar,married
859,35,blue-collar,single
860,40,management,married
861,42,blue-collar,married
862,34,technician,married
863,48,admin.,single
864,35,blue-collar,married
865,33,blue-collar,married
866,37,technician,married
867,43,technician,married
868,42,admin.,single
869,46,admin.,divorced
870,37,blue-collar,single
871,40,blue-collar,married
872,40,blue-collar,married
873,59,entrepreneur,divorced
874,43,technician,single
875,44,blue-collar,married
876,44,blue-collar,married
877,41,admin.,married
878,28,unknown,single
879,48,services,married
880,31,admin.,single
881,27,blue-collar,married
882,43,technician,single
883,47,retired,married
884,40,blue-collar,divorced
885,43,unknown,married
886,29,technician,married
887,54,admin.,married
888,36,technician,married
889,30,admin.,single
890,38,services,single
891,39,blue-collar,married
892,33,blue-collar,married
893,39,retired,single
894,38,technician,single
895,44,admin.,married
896,33,blue-collar,married
897,37,blue-collar,married
898,32,management,married
899,46,technician,married
900,34,technician,divorced
901,52,technician,married
902,46,blue-collar,married
903,57,management,divorced
904,52,technician,married
905,32,technician,single
906,31,blue-collar,single
907,46,admin.,divorced
908,59,services,divorced
909,38,blue-collar,married
910,42,blue-collar,divorced
911,40,blue-collar,married
912,46,admin.,married
913,35,admin.,single
914,28,blue-collar,married
915,47,services,married
916,35,blue-collar,married
917,48,retired,married
918,40,blue-collar,married
919,32,services,single
920,59,retired,divorced
921,48,entrepreneur,married
922,45,blue-collar,married
923,49,blue-collar,single
924,51,admin.,married
925,38,technician,single
926,53,technician,married
927,49,blue-collar,married
928,31,blue-collar,married
929,36,services,married
930,54,retired,married
931,29,admin.,single
932,31,blue-collar,married
933,35,admin.,married
934,38,blue-collar,married
935,54,management,married
936,48,admin.,married
937,48,management,divorced
938,32,admin.,single
939,34,technician,married
940,49,technician,single
941,44,blue-collar,married
942,42,services,divorced
943,55,blue-collar,married
944,42,services,divorced
945,44,admin.,married
946,51,blue-collar,married
947,43,blue-collar,married
948,52,technician,married
949,45,blue-collar,single
950,41,services,divorced
951,35,technician,divorced
952,41,services,divorced
953,46,management,married
954,36,housemaid,divorced
955,29,technician,married
956,47,services,married
957,43,blue-collar,married
958,38,blue-collar,single
959,44,blue-collar,married
960,29,services,married
961,58,unknown,married
962,48,blue-collar,married
963,46,blue-collar,married
964,31,blue-collar,married
965,47,services,married
966,44,admin.,married
967,31,blue-collar,married
968,38,unemployed,divorced
969,33,admin.,married
970,53,blue-collar,married
971,33,management,single
972,33,self-employed,married
973,37,admin.,divorced
974,55,blue-collar,married
975,41,admin.,single
976,46,blue-collar,married
977,32,entrepreneur,divorced
978,48,blue-collar,married
979,34,entrepreneur,married
980,35,admin.,single
981,55,blue-collar,married
982,45,entrepreneur,single
983,48,management,divorced
984,34,blue-collar,married
985,46,admin.,divorced
986,34,blue-collar,married
987,51,unemployed,married
988,37,admin.,married
989,54,housemaid,divorced
990,45,services,married
991,39,services,single
992,39,blue-collar,married
993,39,technician,single
994,39,services,married
995,32,entrepreneur,married
996,41,services,single
997,59,housemaid,married
998,57,technician,married
999,30,services,married
1000,34,entrepreneur,married
1001,34,technician,married
1002,38,blue-collar,divorced
1003,31,blue-collar,married
1004,47,admin.,married
1005,57,self-employed,single
1006,44,blue-collar,married
1007,45,services,married
1008,36,unemployed,married
1009,44,services,married
1010,51,management,married
1011,28,admin.,single
1012,50,technician,married
1013,51,entrepreneur,married
1014,38,blue-collar,single
1015,44,blue-collar,married
1016,35,admin.,single
1017,35,admin.,single
1018,32,admin.,single
1019,48,blue-collar,married
1020,35,admin.,single
1021,44,technician,married
1022,43,technician,married
1023,40,management,married
1024,50,self-employed,married
1025,44,technician,married
1026,37,blue-collar,single
1027,32,services,divorced
1028,58,admin.,married
1029,49,technician,married
1030,32,blue-collar,married
1031,30,services,married
1032,28,admin.,married
1033,40,blue-collar,married
1034,44,management,married
1035,30,services,married
1036,30,services,married
1037,28,technician,single
1038,58,housemaid,married
1039,45,blue-collar,single
1040,35,blue-collar,married
1041,57,retired,divorced
1042,35,admin.,divorced
1043,41,technician,single
1044,42,services,married
1045,42,blue-collar,married
1046,51,blue-collar,married
1047,48,management,married
1048,39,blue-collar,married
1049,47,retired,married
1050,34,technician,single
1051,44,services,married
1052,52,housemaid,divorced
1053,51,blue-collar,married
1054,49,services,married
1055,35,admin.,single
1056,44,admin.,married
1057,37,admin.,married
1058,47,management,married
1059,43,management,married
1060,40,blue-collar,married
1061,32,management,divorced
1062,42,blue-collar,married
1063,42,self-employed,married
1064,39,technician,married
1065,32,housemaid,married
1066,30,services,married
1067,42,blue-collar,married
1068,35,blue-collar,married
1069,56,retired,married
1070,40,blue-collar,married
1071,26,admin.,single
1072,57,management,divorced
1073,51,blue-collar,married
1074,31,technician,married
1075,31,admin.,married
1076,60,services,married
1077,29,admin.,single
1078,44,entrepreneur,married
1079,26,technician,single
1080,54,blue-collar,married
1081,34,blue-collar,single
1082,29,admin.,single
1083,33,admin.,divorced
1084,35,blue-collar,single
1085,42,management,married
1086,53,retired,married
1087,51,technician,married
1088,59,retired,divorced
1089,51,admin.,married
1090,36,blue-collar,married
1091,47,technician,divorced
1092,51,admin.,married
1093,42,admin.,married
1094,40,technician,married
1095,26,blue-collar,married
1096,45,technician,married
1097,51,blue-collar,married
1098,42,services,married
1099,31,technician,married
1100,38,blue-collar,married
1101,51,services,divorced
1102,39,entrepreneur,married
1103,36,blue-collar,married
1104,60,services,married
1105,34,management,married
1106,41,blue-collar,married
1107,34,management,married
1108,36,blue-collar,married
1109,33,technician,married
1110,46,admin.,single
1111,44,blue-collar,married
1112,30,blue-collar,married
1113,34,management,married
1114,54,admin.,divorced
1115,58,self-employed,married
1116,29,services,married
1117,41,entrepreneur,married
1118,53,blue-collar,married
1119,35,admin.,married
1120,34,blue-collar,single
1121,36,blue-collar,single
1122,31,blue-collar,married
1123,59,retired,married
1124,49,technician,married
1125,37,management,married
1126,50,management,married
1127,34,services,married
1128,32,admin.,married
1129,45,blue-collar,married
1130,39,management,married
1131,43,unknown,married
1132,43,blue-collar,married
1133,52,blue-collar,married
1134,54,blue-collar,married
1135,54,blue-collar,married
1136,31,services,single
1137,35,blue-collar,married
1138,28,admin.,married
1139,56,retired,married
1140,35,admin.,single
1141,45,blue-collar,married
1142,38,entrepreneur,married
1143,42,technician,married
1144,44,blue-collar,married
1145,58,admin.,divorced
1146,43,admin.,divorced
1147,37,technician,married
1148,45,blue-collar,married
1149,59,retired,married
1150,50,blue-collar,married
1151,41,admin.,married
1152,33,admin.,married
1153,46,blue-collar,married
1154,30,admin.,single
1155,28,services,single
1156,58,admin.,married
1157,43,blue-collar,married
1158,39,self-employed,married
1159,25,services,married
1160,39,admin.,single
1161,42,retired,married
1162,43,admin.,married
1163,43,admin.,married
1164,33,admin.,single
1165,52,unknown,married
1166,42,services,married
1167,53,blue-collar,married
1168,41,housemaid,married
1169,48,blue-collar,married
1170,40,admin.,single
1171,40,admin.,single
1172,53,blue-collar,married
1173,55,admin.,married
1174,39,technician,married
1175,35,blue-collar,married
1176,50,housemaid,divorced
1177,38,services,divorced
1178,41,unemployed,married
1179,44,technician,married
1180,39,admin.,married
1181,44,unknown,married
1182,51,technician,married
1183,41,technician,married
1184,31,technician,married
1185,40,blue-collar,married
1186,38,self-employed,single
1187,48,blue-collar,married
1188,32,admin.,married
1189,46,blue-collar,single
1190,49,housemaid,married
1191,47,blue-collar,married
1192,28,blue-collar,married
1193,38,admin.,single
1194,28,blue-collar,married
1195,51,services,married
1196,50,blue-collar,married
1197,38,admin.,single
1198,48,blue-collar,married
1199,44,technician,divorced
1200,30,technician,married
1201,34,blue-collar,single
1202,36,blue-collar,married
1203,41,management,married
1204,40,blue-collar,married
1205,35,unknown,married
1206,46,blue-collar,married
1207,35,unknown,married
1208,32,management,single
1209,34,admin.,married
1210,35,blue-collar,married
1211,28,admin.,single
1212,30,services,married
1213,48,unemployed,married
1214,53,blue-collar,married
1215,31,management,married
1216,59,retired,married
1217,51,unemployed,married
1218,47,services,married
1219,40,technician,married
1220,42,entrepreneur,single
1221,30,housemaid,married
1222,40,blue-collar,married
1223,30,housemaid,married
1224,50,entrepreneur,married
1225,36,blue-collar,married
1226,29,unemployed,single
1227,43,blue-collar,married
1228,35,services,married
1229,35,unknown,single
1230,48,blue-collar,divorced
1231,49,technician,married
1232,44,blue-collar,married
1233,32,blue-collar,married
1234,55,admin.,married
1235,41,admin.,married
1236,27,student,single
1237,41,blue-collar,married
1238,36,blue-collar,married
1239,45,services,married
1240,36,blue-collar,married
1241,54,technician,married
1242,48,admin.,married
1243,32,blue-collar,married
1244,33,management,married
1245,43,blue-collar,married
1246,44,technician,single
1247,50,technician,married
1248,32,student,single
1249,43,blue-collar,married
1250,32,student,single
1251,43,blue-collar,married
1252,40,admin.,divorced
1253,24,services,single
1254,32,technician,married
1255,43,blue-collar,married
1256,43,technician,single
1257,35,admin.,married
1258,33,admin.,single
1259,43,blue-collar,married
1260,48,technician,married
1261,52,housemaid,married
1262,49,blue-collar,married
1263,30,admin.,married
1264,36,services,married
1265,39,blue-collar,married
1266,39,blue-collar,married
1267,36,admin.,divorced
1268,39,blue-collar,married
1269,31,admin.,married
1270,41,technician,married
1271,35,unknown,married
1272,55,retired,married
1273,57,retired,married
1274,38,entrepreneur,married
1275,52,blue-collar,married
1276,60,services,married
1277,24,student,single
1278,38,entrepreneur,married
1279,44,technician,divorced
1280,42,blue-collar,married
1281,25,services,divorced
1282,32,admin.,married
1283,51,blue-collar,married
1284,28,admin.,single
1285,27,housemaid,married
1286,35,blue-collar,married
1287,45,services,married
1288,30,services,single
1289,60,entrepreneur,married
1290,28,services,single
1291,45,blue-collar,married
1292,37,unemployed,married
1293,37,unemployed,married
1294,36,services,married
1295,49,blue-collar,married
1296,35,services,married
1297,34,admin.,single
1298,31,blue-collar,married
1299,42,admin.,married
1300,39,blue-collar,married
1301,33,services,married
1302,38,unemployed,married
1303,30,admin.,divorced
1304,31,blue-collar,divorced
1305,39,management,married
1306,37,blue-collar,married
1307,48,blue-collar,married
1308,32,services,married
1309,48,blue-collar,married
1310,37,technician,single
1311,37,technician,single
1312,26,services,divorced
1313,33,management,married
1314,54,admin.,married
1315,37,blue-collar,married
1316,35,entrepreneur,married
1317,45,admin.,married
1318,33,services,single
1319,54,admin.,married
